date,crude_pct_change,crude_lag_2m_pct,gas_pct_change,commodity_pct_change,housing_pct_change,dollar_pct_change,crude_vol_3m,resin_acceleration,crude_acceleration,is_covid,is_post_covid_surge,is_construction_season,is_2026_shock,chem_prod_pct_change
2000-01-01,7.740278796771816,7.740278796771816,9.917355371900838,1.169134840218233,6.173594132029336,0.2111654449470146,1.3741300278115354,0.8497259234178989,-6.140006409982579,0,0,0,0,0.136843337299819
2000-02-01,7.740278796771816,7.740278796771816,9.917355371900838,1.169134840218233,6.173594132029336,0.2111654449470146,1.3741300278115354,0.8497259234178989,-6.140006409982579,0,0,0,0,0.136843337299819
2000-03-01,1.6002723867892366,7.740278796771816,4.8872180451127845,0.7704160246533087,-7.656879677605066,0.2111654449470146,1.3741300278115354,0.8497259234178989,-6.140006409982579,0,0,1,0,0.7442559048100428
2000-04-01,-13.806970509383376,7.740278796771816,8.960573476702516,-0.0764525993883991,1.3715710723191998,0.2111654449470146,2.2552826873808973,0.3580456932489761,-15.407242896172612,0,0,1,0,0.7808149248190066
2000-05-01,11.936236391912905,1.6002723867892366,18.092105263157897,0.6885998469778221,-3.136531365313655,0.2111654449470146,2.1409421602026835,-0.5098398644553637,25.643732000340197,0,0,1,0,0.0256144592183371
2000-06-01,10.52448766932963,-13.806970509383376,19.49860724233985,1.6717325227963764,-1.0158730158730145,0.2111654449470146,3.0500218578451763,-2.303438208464237,-1.4117487225832726,0,0,1,0,-1.1074697380801024
2000-07-01,-6.662476429918296,11.936236391912905,-6.99300699300699,-0.0747384155456054,-6.157793457344452,0.2111654449470146,1.5547454239628258,-1.2185964016796391,-17.186964099247927,0,0,1,0,-0.7213655319561529
2000-08-01,5.252525252525264,10.52448766932963,11.027568922305742,-0.5983545250560884,5.331510594668498,0.2111654449470146,1.0986051762727818,0.8789199701265349,11.91500168244356,0,0,1,0,-0.082742155125437
2000-09-01,8.381317978246972,-6.662476429918296,14.22121896162527,1.3544018058690543,-2.20635950681376,0.2111654449470146,2.1122815468903187,-2.597449286405296,3.1287927257217083,0,0,0,0,0.6697203306560873
2000-10-01,-2.272727272727282,5.252525252525264,-0.7905138339920903,0.5196733481811489,2.786994027869949,0.2111654449470146,1.3465882815471188,1.471935072615138,-10.654045250974256,0,0,0,0,0.2113308697488936
