date,resin_ppi_pct_change
2000-01-01,1.876876876876876
2000-02-01,1.876876876876876
2000-03-01,2.726602800294775
2000-04-01,3.0846484935437517
2000-05-01,2.574808629088388
2000-06-01,0.2713704206241507
2000-07-01,-0.9472259810554884
2000-08-01,-0.0683060109289535
2000-09-01,-2.665755297334249
2000-10-01,-1.193820224719111
2000-11-01,-1.3503909026296943
2000-12-01,-1.0806916426512991
2001-01-01,0.3641660597232254
2001-02-01,1.0885341074020394
2001-03-01,1.5075376884422065
2001-04-01,0.3536067892503602
2001-05-01,-1.4094432699083836
2001-06-01,-1.644031451036465
2001-07-01,-1.8168604651162767
2001-08-01,-2.812731310140626
2001-09-01,-3.427265803503443
2001-10-01,1.1829652996845574
2001-11-01,-1.3250194855806807
2001-12-01,-2.132701421800942
2002-01-01,-1.5334947538337418
2002-02-01,-0.5737704918032827
2002-03-01,1.483924154987637
2002-04-01,1.8683996750609388
2002-05-01,2.0733652312599604
2002-06-01,1.6406249999999956
2002-07-01,3.9969254419677247
2002-08-01,0.8130081300812941
2002-09-01,0.2199413489735846
2002-10-01,1.097293343087058
2002-11-01,-0.8683068017366069
2002-12-01,-1.2408759124087454
2003-01-01,1.4042867701404171
2003-02-01,3.352769679300316
2003-03-01,5.500705218617763
2003-04-01,2.4064171122994527
2003-05-01,-0.5221932114882422
2003-06-01,-2.09973753280841
2003-07-01,-2.8820375335120496
2003-08-01,-0.897170462387864
2003-09-01,0.9052924791086436
2003-10-01,0.8971704623878418
2003-11-01,-0.2735978112174964
2003-12-01,-1.2345679012345734
2004-01-01,1.5277777777777724
2004-02-01,2.8727770177838785
2004-03-01,0.6648936170212671
2004-04-01,2.245706737120212
2004-05-01,1.0981912144702788
2004-06-01,1.9808306709265144
2004-07-01,0.9398496240601516
2004-08-01,2.358783364369965
2004-09-01,3.456640388113996
2004-10-01,2.930832356389224
2004-11-01,3.302961275626437
2004-12-01,2.094818081587646
2005-01-01,2.7537796976242035
2005-02-01,0.2627430373095096
2005-03-01,0.6813417190775661
2005-04-01,0.1041124414367544
2005-05-01,-1.0400416016640657
2005-06-01,-2.1019442984760883
2005-07-01,-0.6977992485238893
2005-08-01,-0.8648648648648671
2005-09-01,2.617230098146117
2005-10-01,5.806636720943291
2005-11-01,2.305051495831289
2005-12-01,-1.6299137104506256
2006-01-01,-0.6335282651072083
2006-02-01,-1.9127023050514944
2006-03-01,-0.5499999999999949
2006-04-01,-2.312719959778775
2006-05-01,0.8234688625836206
2006-06-01,1.3272077590607445
2006-07-01,0.3526448362720424
2006-08-01,1.556224899598413
2006-09-01,0.0494315373207987
2006-10-01,-1.1857707509881463
2006-11-01,-1.9000000000000017
2006-12-01,-3.5607177333711553
2007-01-01,-0.7932310946589083
2007-02-01,-1.1194029850746243
2007-03-01,0.8086253369272267
2007-04-01,2.7272727272727337
2007-05-01,0.8849557522123908
2007-06-01,1.5995872033023772
2007-07-01,0.8633824276282231
2007-08-01,0.0503524672708977
2007-09-01,-0.352289884247603
2007-10-01,0.6565656565656663
2007-11-01,3.311590566984446
2007-12-01,0.7770762506070783
2008-01-01,1.0602409638554189
2008-02-01,-0.0476871721506899
2008-03-01,0.5725190839694694
2008-04-01,0.6166982922201081
2008-05-01,2.0273455917020344
2008-06-01,1.2476894639556368
2008-07-01,4.609767229575534
2008-08-01,1.7888307155322858
2008-09-01,-2.6575225032147487
2008-10-01,-2.1136063408190187
2008-11-01,-3.5607177333711553
2008-12-01,-3.5607177333711553
2009-01-01,-2.995270625328439
2009-02-01,2.97941495124594
2009-03-01,-0.7890583903208848
2009-04-01,-2.7041357370095387
2009-05-01,1.3079019073569451
2009-06-01,0.0
2009-07-01,4.572350726196883
2009-08-01,0.0514403292181109
2009-09-01,0.976863753213375
2009-10-01,-0.9674134419552004
2009-11-01,0.0
2009-12-01,1.1825192802056517
2010-01-01,-0.9146341463414642
2010-02-01,5.806636720943291
2010-03-01,0.8720930232558155
2010-04-01,5.806636720943291
2010-05-01,-3.5607177333711553
2010-06-01,-2.3463162834350126
2010-07-01,2.2104757328207603
2010-08-01,-0.7522331922896086
2010-09-01,-0.1894836570345837
2010-10-01,2.0408163265306145
2010-11-01,-2.186046511627904
2010-12-01,-0.903471231573949
2011-01-01,2.303262955854124
2011-02-01,2.6266416510319024
2011-03-01,2.010968921389389
2011-04-01,2.643369175627241
2011-05-01,4.539502400698381
2011-06-01,-0.4592901878914368
2011-07-01,-0.7130872483221529
2011-08-01,-1.225179552175737
2011-09-01,0.6415739948674171
2011-10-01,-2.592435189120279
2011-11-01,1.0034904013961563
2011-12-01,-1.8574514038876888
2012-01-01,2.1126760563380254
2012-02-01,1.2499999999999956
2012-03-01,1.3197105151128152
2012-04-01,0.6722689075630228
2012-05-01,-0.3756260434056746
2012-06-01,-1.005446166736479
2012-07-01,-1.0579771476936115
2012-08-01,0.4277159965782706
2012-09-01,-1.277683134582619
2012-10-01,1.1216566005176842
2012-11-01,-0.085324232081918
2012-12-01,-0.1280956447480719
2013-01-01,2.479692176143633
2013-02-01,1.8356278681685545
2013-03-01,1.2290045063498622
2013-04-01,-0.4856333468231444
2013-05-01,-0.528670191134617
2013-06-01,0.3270645952575757
2013-07-01,-0.4074979625101838
2013-08-01,0.2864157119476296
2013-09-01,0.163198694410438
2013-10-01,0.1221995926680374
2013-11-01,0.8543531326281606
2013-12-01,-0.080677692618003
2014-01-01,1.1707710940654037
2014-02-01,1.276935355147657
2014-03-01,1.1032308904649346
2014-04-01,0.3507404520654678
2014-05-01,-0.0776699029126137
2014-06-01,-0.8161678973960473
2014-07-01,0.744514106583094
2014-08-01,0.8945935433683161
2014-09-01,0.8866615265998412
2014-10-01,0.4967520061138764
2014-11-01,-1.2547528517110274
2014-12-01,-2.810935695032724
2015-01-01,-3.5607177333711553
2015-02-01,-2.4259868421052544
2015-03-01,-2.991993257479997
2015-04-01,-0.3475238922675872
2015-05-01,0.3923278116826578
2015-06-01,0.521059487624842
